Type,Roll Speed [rpm],Rolling Torque [Nm],Roll Wear [min],Ambient Temp [K],Mill Process Temp [K],TWF,HDF,PWF,OSF,RNF,Power [W],Temp Diff [K],Probability
L,1302.499997587836,66.94636799367053,15.705981276702762,297.6867632238248,300.1198912859823,0,1,1,0,0,9131.315942427535,2.4331280621574933,0.9991800243031403
H,1378.6858723984853,75.11682279060065,215.51887114496265,301.6074191147207,309.6677398765223,0,0,1,1,0,10845.039886808621,8.06032076180162,0.9995360524220778
M,1069.177175030051,35.77077211112636,238.29025462663,306.13523889410504,309.6745106521636,0,1,0,0,0,4005.037725232654,3.5392717580585327,0.9387497396270016
M,1582.5819326368787,76.43011904146721,20.27522948002517,296.5690558260456,307.2368517443052,0,0,1,0,0,12666.579618838468,10.667795918259628,0.9998767705786669
M,2034.3534821169671,46.24663250869361,272.3628785196483,300.395972806627,312.02961834445773,1,0,1,1,0,9852.243779187562,11.633645537830716,0.6417114250380269
L,1983.998455826824,50.153462783748665,276.1939644120427,299.96488108338343,311.9377614794952,0,0,1,1,0,10420.075638688777,11.972880396111748,0.9025116105650824
L,2596.786336347492,76.0417382138018,129.32168738762175,296.9010356704434,310.1944918701182,0,0,1,0,0,20678.39709631247,13.293456199674836,0.9998262137868266
M,2139.1628954895386,59.428581616342,208.6237908201721,297.01438999803236,310.2472224183969,0,0,1,0,0,13312.751948463174,13.23283242036456,0.8853015679683096
L,1055.5989659736863,36.135261375591526,147.37913566324866,304.10368678924266,304.04834490559665,0,1,0,0,0,3994.466419770463,-0.05534188364600823,0.9899433440947916
M,1309.3228791832914,32.0644420763077,262.1876255932327,296.9032557370217,300.2501757499374,1,1,0,0,0,4396.418861096516,3.346920012915689,0.9539200530670646
M,2278.2766398820877,59.476293599153344,47.9821773702892,297.74071666787466,301.94062404446004,0,0,1,0,0,14189.888136816096,4.199907376585372,0.815977660135955
H,1150.6856414339193,44.227162094691444,60.122645343907706,309.77827469389183,313.0502736975832,0,1,0,0,0,5329.351741041788,3.2719990036913487,0.9958730649900805
M,2770.675393711368,57.11374482370102,245.4158520432253,299.46914448788004,310.4425635892556,0,0,1,1,0,16571.236007665106,10.973419101375555,0.987505036554021
H,1368.7275577601577,58.48405065624435,253.06387974209053,295.2664919347247,304.99563864106193,0,0,0,1,0,8382.683594106456,9.729146706337247,0.9277966726755967
H,1096.4266563401213,34.47624292076757,60.80455713230932,308.3275773515718,313.00112908302094,0,1,0,0,0,3958.477088891612,4.673551731449152,0.983151029562711
M,1104.461645576973,74.3001816932904,234.60404475620447,306.41565533645263,311.7409524793599,0,1,0,1,0,8593.481227101813,5.325297142907289,0.9997320370510875
H,2690.894739555012,77.3084690997114,173.39663287890383,295.62113909792856,314.6726533108218,0,0,1,1,0,21784.740997472472,19.05151421289321,0.999814163069602
L,1234.8708532173712,47.434392961764246,184.128105960729,309.74293575944586,312.8216987139733,0,1,0,0,0,6133.996235639038,3.0787629545274626,0.9954383311188589
M,2745.292702018709,65.66160413894559,243.12382725910018,305.6062726064014,300.9728588088463,0,1,1,1,0,18876.816845226447,-4.633413797555079,0.9994789214763805
M,1301.4204547020659,25.65994747733879,126.42522613456353,308.47167686990423,313.2283023634286,0,1,0,0,0,3497.0513497558177,4.756625493524382,0.9744223536852895
H,1429.2768848001,62.99492196976216,78.06415403194852,298.4400244020319,312.65523165513196,0,0,0,0,0,9428.672051903113,14.215207253100061,0.9064695267343515
H,1190.490215429949,79.12027103853569,151.5196694548513,307.32858976696855,305.12943479360183,0,1,1,1,0,9863.753593791547,-2.199154973366717,0.9983568830126482
L,1488.3974311300872,66.9826721415196,33.34183667250686,298.95439429291594,307.1397829327318,0,0,1,0,0,10440.228372098809,8.18538863981587,0.9923706324674257
M,2336.2125874623935,64.91780645764544,45.28581182151878,299.8862486729218,308.78601979864726,0,0,1,0,0,15881.986200624413,8.899771125725465,0.9972839131385512
M,1637.8325471451365,73.92796769138835,239.52428765205033,295.62512734997347,300.2717332173623,0,1,1,1,0,12679.638813703903,4.646605867388814,0.999921110523721
M,2046.4089245305447,79.53847613673605,178.15556941263998,302.78656087193514,309.8015483315605,0,0,1,1,0,17045.05101000798,7.014987459625388,0.9996760049896745
L,1102.099504911463,39.73631804765734,260.2749179234508,307.51729327610576,302.89222781827965,1,1,0,0,0,4586.031657427222,-4.625065457826111,0.960922276816752
L,2100.937139884434,68.60524878857052,140.96249553482915,300.8483125664727,303.7354973150496,0,0,1,0,0,15093.81490879366,2.8871847485768853,0.99590893476403
H,1198.7354482770565,57.76243937623845,213.92254196132015,305.68458551858646,308.783135941881,0,1,0,0,0,7250.993100820789,3.0985504232945686,0.9966198106947693
L,1436.3144046613656,57.84143670607246,265.173206789586,300.9271699314744,300.88455377496535,1,1,0,1,0,8699.958995228042,-0.04261615650904105,0.9969298606323571
H,1955.0937745784513,76.6460213748407,110.10473876963789,302.699067233919,310.422288889475,0,0,1,0,0,15692.271979852485,7.723221655556017,0.999659271728382
L,2468.4731779194663,49.89695026924056,224.89697951334924,301.7095544139557,313.81834588821744,0,0,1,0,0,12898.257195870277,12.10879147426175,0.921614467432107
L,1508.2067120578336,69.07739782690169,75.06758404280157,305.1156036937163,301.98818289297157,0,1,1,0,0,10910.017729689944,-3.127420800744744,0.9952242453583641
H,2151.5158835514558,63.78338495791017,20.02217508847972,298.5863278396445,310.024619090715,0,0,1,0,0,14370.793137978357,11.438291251070495,0.9817173067175272
H,1109.810345128149,61.05710328231511,28.907541839806385,304.2738511635035,306.1168667008249,0,1,0,0,0,7095.999612062087,1.8430155373214347,0.9872078691465164
H,1577.0944538134204,68.56926358168946,209.6080114863935,296.5115920425654,311.0784380269489,0,0,1,1,0,11324.415817265706,14.56684598438352,0.9981558346752871
M,1048.000087899553,59.59725172077939,19.78233826473934,301.69656705218017,306.8495395058085,0,1,0,0,0,6540.578615674921,5.152972453628308,0.9676849036100654
L,1077.0871163824336,30.745653154108062,121.7141534613965,309.7606179883467,309.7962165876381,0,1,0,0,0,3467.872905663995,0.0355985992914043,0.9877184273781686
M,2374.730834854811,33.949620382531805,260.85080447164125,304.6794656571787,304.5269135326119,1,1,1,0,0,8442.633405722889,-0.152552124566796,0.5090882800081887
H,1289.9976835436707,68.236264353037,240.45841259380572,301.66905033134583,311.59690500642097,0,0,0,1,0,9217.916959729222,9.927854675075139,0.9983709162076302
M,2281.707707720764,63.93791869275072,176.14911476099903,301.9826997122596,304.6948520053138,0,0,1,0,0,15277.318134425142,2.712152293054203,0.9987505577409023
L,2716.803531300231,77.55978064287353,117.91733537843179,309.1260211315003,308.8396963187788,0,0,1,0,0,22065.9903114837,-0.2863248127214888,0.9999407571617521
M,2035.1765106094929,63.43516504789791,237.24752422789945,302.0665681206374,307.08420605592966,0,0,1,1,0,13519.504467791423,5.017637935292271,0.9983744754110734
M,2532.638486637208,64.56895652920053,111.63497544446079,299.98710334114105,313.77443507073497,0,0,1,0,0,17124.803160468677,13.787331729593916,0.9942375311350738
H,1279.515486659965,35.990498889659776,142.12664472159094,308.90224403007915,302.4854324243891,0,1,0,0,0,4822.386684669152,-6.416811605690043,0.99319418568012
H,1715.8791130757438,50.147102939313115,249.06366183708727,302.74180620271665,302.61384392647045,1,1,1,0,0,9010.754430369136,-0.12796227624619405,0.7605458315391208
L,1823.3287241009712,52.691420750813194,230.71444119259704,303.5578431238736,300.66022264570597,0,1,1,0,0,10060.822816456614,-2.897620478167653,0.801395400966415
H,1252.2383183979837,39.372451770200044,160.14276063589165,298.39325856689175,305.68898898063804,0,1,0,0,0,5163.070636083782,7.295730413746298,0.9947752033861877
H,2580.1628373292524,58.729490650666904,111.3088110177078,307.6169733392544,310.2369498990614,0,0,1,0,0,15868.35720046647,2.6199765598070144,0.658050164944662
M,2432.4578803248396,63.513027671324274,225.1912924362927,299.8346134230894,308.18686149156616,0,0,1,1,0,16178.444483205998,8.35224806847674,0.9986703129299622
L,1697.29093542504,73.29190366690503,213.68567623032467,295.05812758569874,307.9783964599906,0,0,1,1,0,13026.89497806513,12.920268874291878,0.9998780383053189
L,1435.857900628255,75.92426728269444,169.14645812672504,305.0876381341176,309.77439093767117,0,1,1,1,0,11416.176893347943,4.686752803553588,0.99946569572052
L,1271.6658477711578,41.13389694014856,254.24406913381665,307.06437924795506,305.8027886316351,1,1,0,0,0,5477.740842595415,-1.2615906163199497,0.9791834722965863
L,1316.9987702395263,77.35307972987962,237.6650206779628,297.2257277492646,314.0225327820019,0,0,1,1,0,10668.211000277672,16.796805032737325,0.9999143326843288
L,1484.4967731333606,72.38251226906462,2.97757848878736,295.2767181314019,306.99797167076935,0,0,1,0,0,11252.305856508463,11.721253539367467,0.9995739767023405
M,1272.0961580903818,65.97351676380814,240.4045083389978,298.5344471334266,309.3845233282619,0,0,0,1,0,8788.569551632252,10.850076194835253,0.9845502352828587
L,2616.343982514423,69.56500674435077,75.82648085710103,295.1521918362566,303.1967859450327,0,0,1,0,0,19059.622366872594,8.044594108776096,0.9994584287487966
H,2012.666736951116,70.96086888295847,50.08189416296321,296.1286816771671,307.7944297074714,0,0,1,0,0,14956.136208245827,11.665748030304314,0.9995592290932532
H,2481.91086330132,78.9444714141972,179.34338675958298,301.96564769851955,303.4251320988528,0,0,1,1,0,20518.070566339626,1.459484400333281,0.9999240482586063
H,1435.6536979175705,76.6346317543264,167.9064736177627,296.5010598712776,310.9479982109547,0,0,1,1,0,11521.350445178494,14.446938339677104,0.9993600730142279
H,2688.761027827076,60.233853914896414,85.72783152008746,303.20937063368757,310.9117560956079,0,0,1,0,0,16959.829188663767,7.702385461920358,0.9683448074682667
L,1979.5973197620299,54.154921067224244,228.44995157298553,309.3428381189594,302.0555220460105,0,1,1,0,0,11226.474708014752,-7.287316072948897,0.872136748769178
L,1259.985657531467,53.776203193493316,149.31108722925492,302.86807916746557,306.14434935473014,0,1,0,0,0,7095.522076787014,3.276270187264572,0.9973560855481577
M,1301.5536396470648,70.30463818057511,152.80353856514552,305.4016824285052,301.7162469734688,0,1,1,0,0,9582.408179342861,-3.6854354550363837,0.9997227384151195
H,2433.113207481406,49.59697681558436,253.76059448886383,296.65368102022234,304.10275038562605,0,0,1,0,0,12637.062663255365,7.449069365403716,0.9164512246956044
L,2579.846007565814,77.42361033805864,255.20550889126903,297.7546697953333,309.8519007045581,0,0,1,1,0,20916.82777189881,12.097230909224777,0.9999746671463607
M,1696.03062922849,59.93824535424551,120.42921493132734,305.2705406261817,313.5233799906274,0,0,1,0,0,10645.506616395853,8.25283936444572,0.9427682301478157
L,1130.9633195642211,59.10865999119908,217.60303118750238,306.0295261212284,310.83405662764335,0,1,0,1,0,7000.48696990419,4.804530506414949,0.9989843646843595
M,1437.6927038114613,61.12289616711188,203.06379280970987,306.02291751606316,300.9211476691719,0,1,1,0,0,9202.34711199462,-5.101769846891273,0.926926825184978
L,2152.4524373290105,74.38199083829187,4.235169118679725,296.8361401235657,300.0634996434139,0,0,1,0,0,16766.01999315245,3.2273595198481644,0.9987711141251772
L,1224.5028790690974,47.520778555206725,79.68454403561695,305.3632607530836,303.1444104681473,0,1,0,0,0,6093.572404561069,-2.218850284936252,0.995752486526318
L,2206.88470775909,72.0920280159128,178.24598444574764,295.3774829211882,311.84858603903115,0,0,1,1,0,16660.78676632692,16.471103117842972,0.999861550407914
H,1112.6256803800145,62.561661420405706,256.81521108423436,302.4471977500319,308.1468420542092,1,1,0,1,0,7289.302461207234,5.699644304177298,0.999531322534881
L,1950.800886139451,61.11316449861871,207.91893123388758,301.55782930916723,301.4185644241499,0,1,1,1,0,12484.648936294168,-0.13926488501732592,0.960774294501158
M,1254.891647456496,73.53007547645379,26.399303063267745,297.02733595040104,309.65799302410625,0,0,1,0,0,9662.730309604647,12.630657073705208,0.9952059754938349
M,2109.072677815036,77.33154499031804,74.80282153158764,295.56980228462874,302.108015324802,0,0,1,0,0,17079.566773507002,6.538213040173275,0.9993844152325005
L,1211.341204865295,71.27300362477315,136.30816718141793,308.4655827740867,300.12350908701353,0,1,1,0,0,9041.07703767132,-8.342073687073196,0.9981786647124976
M,2579.6520529973477,74.76756755011627,129.1173415334248,307.16698900611726,303.66822352507137,0,1,1,0,0,20197.75042078655,-3.4987654810458935,0.999963678573628
H,1542.8839647977736,79.0268208983007,24.469436113942706,301.8035142776054,311.97059240348324,0,0,1,0,0,12768.397510859628,10.167078125877822,0.9997624860529625
H,1839.0236373691068,79.81371696877514,35.44724078542762,295.16681601763463,312.54636730418963,0,0,1,0,0,15370.693618892246,17.379551286555,0.9993536812420091
M,1132.5067844605853,72.18843733162899,255.7035781311701,304.2651640176246,303.0071693504619,1,1,0,1,0,8561.247868423969,-1.257994667162734,0.999669392900755
H,2113.1032840759376,77.41267301609979,178.87489915678157,308.5626097567839,303.06319802456386,0,1,1,1,0,17130.159495472104,-5.4994117322200395,0.9994424147841763
M,1394.7201396746088,65.53093192850878,91.04739593905697,307.3788385401736,301.6519272844666,0,1,1,0,0,9571.103977541838,-5.726911255707023,0.9769556875808082
H,2037.6641300428214,75.03436860135956,173.84746034791834,297.1104928482174,303.0915923471347,0,0,1,1,0,16011.110352498963,5.981099498917274,0.9995250058605205
H,1334.4409122423951,73.138771473405,13.236588838406886,297.2138124349887,309.4764059082243,0,0,1,0,0,10220.582013686417,12.262593473235597,0.9988126396066439
H,1317.8932589438384,68.01875926257745,123.17473248400506,297.5750525954105,302.7458986516173,0,1,1,0,0,9387.232191516669,5.170846056206813,0.9986056342223815
L,1063.2170746000108,68.73285162048276,70.1183527334332,308.26898944395816,303.4377278978234,0,1,0,0,0,7652.704131077624,-4.831261546134783,0.9770897326979321
L,1098.8560763222533,50.28471853075568,165.35497717058465,298.87439734878734,307.23706387112657,0,1,0,0,0,5786.360074677953,8.362666522339225,0.9878771780649147
H,1938.5021054760819,75.36783609109345,20.033753744683814,298.4830174209046,308.6274450615099,0,0,1,0,0,15299.630463818203,10.144427640605272,0.9998878672719417
H,1023.1610912091654,34.92553762437904,86.32831561138971,301.4508088916459,305.6267323908704,0,1,0,0,0,3742.102977619898,4.175923499224496,0.9818725310332949
M,1365.4096967022256,61.15281054699109,203.38475053037573,302.46041415594425,306.2213268503114,0,1,0,0,0,8743.957186136951,3.760912694367164,0.9960655968399997
M,1944.0920708719545,61.45753665084695,62.53784821537623,300.9337124065704,309.83191932198457,0,0,1,0,0,12511.82310951404,8.898206915414164,0.9563602652009227
H,1806.431474074799,44.660433939572115,237.99484886615323,305.8045338194831,314.7123138936256,0,0,0,0,0,8448.372379245915,8.907780074142522,0.8297073899776555
M,1307.0019593587988,76.25424667302983,279.92737541961685,296.6675945911275,302.474604125073,1,1,1,1,0,10436.83677835183,5.807009533945461,0.9998784338870631
M,2735.7474644554973,73.25461058769639,180.40647675976547,305.2850780043728,302.13901477525013,0,1,1,0,0,20986.479305604687,-3.1460632291226602,0.999952760718666
L,2722.659713459704,61.87943493221561,35.40353004682101,301.5416935728502,304.1459673694874,0,0,1,0,0,17642.83296396654,2.6042737966371874,0.982758639717749
H,1378.9914008256364,37.20848618661023,159.8605865042872,306.95457828607994,307.0629975698173,0,1,0,0,0,5373.189745400988,0.1084192837373621,0.9329794538714694
M,2663.5575806933093,74.71325765599686,168.68950702028602,300.1107266615651,306.0306527935853,0,0,1,0,0,20839.55211002771,5.919926132020237,0.9999575981470691
L,1075.6592057206733,30.490650049541067,151.45061466165777,301.14563999954544,307.95556812027644,0,1,0,0,0,3434.551238459828,6.809928120731001,0.9922699755686659
H,1973.2470506050897,73.84359583076989,246.11036055737992,298.16699523280255,302.07876356104435,0,0,1,1,0,15258.889110239335,3.9117683282418056,0.9998494088401781
L,2611.4836781917143,79.2237882418921,136.54618223172167,301.9480357784075,305.22243382901075,0,0,1,1,0,21665.640821343048,3.2743980506032813,0.9999128761493596
L,1376.2540694346208,68.15411355326144,210.09433908413294,303.8916712938453,306.56411865420324,0,1,1,1,0,9822.43825882169,2.6724473603579213,0.9994160650442775
L,2128.2095654855493,68.55182259555887,219.15260338682205,295.43432564793915,312.21212707000734,0,0,1,1,0,15277.84201410771,16.777801422068194,0.9988657701819665
M,1904.2436349068307,64.40923111081015,19.449350899893716,307.3047966291047,312.04056184156707,0,0,1,0,0,12843.968901129803,4.735765212462354,0.988662020728973
L,2696.5168469830514,78.48489265973913,96.104574807727,308.51226071731975,301.0699245102933,0,1,1,0,0,22162.452846180782,-7.442336207026472,0.9998855625250469
L,1840.9296747463472,79.66189284314169,82.61231654154072,304.63756149814424,311.4998872315208,0,0,1,0,0,15357.35550447497,6.862325733376565,0.9989783109864239
L,2668.1696257647295,48.534817045542596,272.10265575827225,295.9807975295352,300.06717560158444,1,0,1,1,0,13561.116619774397,4.086378072049229,0.969091806314556
L,1914.8770043110462,71.60824279933834,2.898705003527202,297.07000949053224,310.1329078407307,0,0,1,0,0,14359.275180916207,13.062898350198452,0.9995884131138817
H,1370.7090016615634,70.81071247717495,120.05780031672437,309.11234948763934,302.70075138300354,0,1,1,0,0,10164.191690702519,-6.4115981046358,0.9998774972014612
L,2443.701373140892,47.99610770078637,274.5991982896344,296.14684415020054,309.2437198101722,0,0,1,1,0,12282.386796086726,13.096875659971658,0.6238024277105355
L,1441.7924604562065,74.83962447088314,106.40873391949373,297.25779023870905,309.3250623209994,0,0,1,0,0,11299.597340937367,12.067272082290344,0.9997249849225942
H,1016.9173836813067,79.44780937025551,71.18873965137023,298.6181196874747,314.34887315133227,0,0,0,0,0,8460.503631919093,15.730753463857582,0.956894948028218
H,1369.6803850535512,29.387034006076455,163.4227386682947,302.99965049908894,301.68740054586294,0,1,0,0,0,4215.058532592349,-1.3122499532260008,0.995440520180188
L,2737.0249855084594,77.41468692576836,116.78264729070312,308.5830358539125,313.3996587079839,0,0,1,0,0,22188.642950159698,4.816622854071397,0.9999632520742378
L,1000.9215197435412,76.8366934145629,255.69949958583177,305.02790973351114,311.71034401399396,0,1,0,1,0,8053.734561060916,6.682434280482823,0.9998148993257431
L,2786.1688919514318,20.469425857081994,237.3106429778263,295.05563549526227,300.1942139723187,0,0,1,0,0,5972.30142015115,5.1385784770564555,0.7761305793356513
L,2044.4001461681546,76.46592665518155,189.72223322285257,295.60921914230624,314.90866046968057,0,0,1,1,0,16370.520093373627,19.299441327374325,0.9998624010704337
L,1206.5435406550037,60.290774226395044,15.766646164549591,307.70432880327456,304.6007444845138,0,1,0,0,0,7617.675663597871,-3.1035843187607384,0.9927464043418944
H,1425.829315920315,60.90992434785869,225.9120093865731,297.531169002925,310.708115253396,0,0,0,1,0,9094.612884619437,13.176946250470962,0.9929532039824354
M,2706.4404174919227,79.48468287106132,45.747034974594015,302.25066524823234,314.6228519778569,0,0,1,0,0,22527.372185727912,12.37218672962456,0.9998056707218921
H,1251.1685076498038,36.67862634750995,28.113661741714363,305.33179990450276,309.5070992532563,0,1,0,0,0,4805.7091722835,4.175299348753526,0.980089672696098
M,1428.3131300659793,71.26988463195474,194.80434683042068,296.16623210182206,307.2873349549886,0,0,1,1,0,10660.022032673336,11.12110285316652,0.9998614925187713
L,2155.291749968861,71.1991347416556,155.6411298436731,295.58477207075964,305.04435420341366,0,0,1,1,0,16069.760357679399,9.45958213265402,0.9998732458271307
H,2795.6931449388358,74.07079286687802,40.36119256993958,303.8070487041186,308.04718429606686,0,0,1,0,0,21685.28393727496,4.240135591948274,0.9997335364402062
M,1306.084469477367,76.85667278147369,24.633535618323155,309.82514091189506,311.31757958205293,0,1,1,0,0,10511.905855753299,1.492438670157867,0.999716234516762
H,2587.7243819456435,51.09959110579759,274.09967320514386,302.2501205706787,302.50412924978554,1,0,1,1,0,13847.26682513145,0.2540086791068461,0.9730818244987085
H,1282.764739254218,53.92063406706936,31.429448140430154,300.7580003722021,304.4317787754652,0,1,0,0,0,7243.202416018096,3.6737784032631,0.9916186632426851
H,1931.5053566650931,76.61651453167525,46.90043025166774,296.56732086252583,313.67287574874916,0,0,1,0,0,15496.974766856985,17.10555488622333,0.9994260972471738
M,1230.5462578103816,36.60095975082076,76.98373364508558,309.93245243113444,304.9834794322643,0,1,0,0,0,4716.491277689008,-4.948972998870147,0.9630166207621548
L,1257.8404682624057,59.26628118977636,177.6052908978949,305.15508084051385,310.3514564656696,0,1,0,0,0,7806.598760060324,5.196375625155781,0.9982891997588488
H,2443.635463630293,48.49617272366795,242.18922403232355,297.7488221053423,300.0912188518131,0,0,1,0,0,12410.02061844745,2.342396746470797,0.8310526174676828
M,2624.0684395789294,65.8709368329659,51.3842843933591,296.12630276761763,301.4201447607089,0,0,1,0,0,18100.79359050343,5.293841993091291,0.9971622494551526
L,1401.6916951760727,65.66051090405861,206.35424252898906,309.83087899542505,305.00212122803595,0,1,1,1,0,9637.965687949749,-4.8287577673891064,0.9967185474066075
L,2513.7094791263244,79.75321761692565,242.57807331675386,301.99593589679057,300.1510156356794,0,1,1,1,0,20993.841516935732,-1.844920261111156,0.9999541578372104
H,2749.7494775220625,67.44567917237312,4.654764551017241,302.09603822786465,313.2976232726487,0,0,1,0,0,19421.19185476912,11.201585044784053,0.9955639518200066
H,1808.4624189778879,70.36990644507456,30.3626578807838,305.17696539294707,302.499389099771,0,1,1,0,0,13326.775442911954,-2.6775762931760596,0.9978649917236871
L,2600.7300643877415,58.66543049482266,208.63523064409392,297.37427923341755,303.414556998527,0,0,1,0,0,15977.401839166647,6.040277765109465,0.9928152455265267
L,1018.930023557126,46.84592198346857,224.39344700638625,306.3436213731128,306.8318334346403,0,1,0,0,0,4998.558371574869,0.48821206152751984,0.9829295156659533
L,2779.1206996801075,66.5290464170302,216.7007736434312,306.2524441929467,302.2635967940117,0,1,1,1,0,19361.871146407666,-3.988847398935036,0.9997629783433104
L,2524.7002748382492,76.82009786197037,50.21121001026457,297.90091292661714,303.1559030625987,0,0,1,0,0,20310.15797325181,5.254990135981586,0.9995920012296406
L,1703.5805614080746,70.68945518017239,99.81709789778817,303.42177434251295,309.7161564628905,0,0,1,0,0,12610.895542207158,6.294382120377577,0.9992029356095373
H,2698.3499293747122,50.4809323664699,252.83158800718894,303.0295367085371,301.8633607234108,0,0,1,0,0,14264.424511903015,-1.1661759851263014,0.9475311284352054
L,1229.8590398442307,78.41728414199932,156.45274113469324,308.10084223758383,305.14066988642986,0,1,1,1,0,10099.404172698363,-2.9601723511539717,0.9985154283285036
M,1378.030144867605,58.939927101314105,97.31912221803886,301.4599561394993,306.3443936642921,0,1,0,0,0,8505.442841216407,4.884437524792816,0.9748332631854482
H,1318.5152241120134,38.31749160539272,150.33944474076705,306.9217049079165,303.60562044032156,0,1,0,0,0,5290.671996525558,-3.3160844675949193,0.9910928921362393
M,2396.9633352251467,77.82587941026476,49.76601354185067,309.81772448594825,313.2644252744145,0,0,1,0,0,19535.02834554832,3.4467007884662735,0.9998617807625613
L,1264.1171252797562,58.151454471250084,168.08410909326065,303.31936278173777,307.0873966452134,0,1,0,0,0,7697.975321925628,3.7680338634756367,0.998404350365097
H,2633.404553814986,30.47497507940206,230.95512807329905,308.69843779223237,308.29694552729995,0,0,1,0,0,8404.06803085782,-0.40149226493241486,0.6570360861183502
L,1699.3600227619845,79.0690745753915,225.3324908469902,298.58781304831217,309.2684503557156,0,0,1,1,0,14070.86094425434,10.680637307403401,0.999971142133951
M,1164.3922622746068,43.01809223171867,253.17442271690672,305.90002273524834,311.50548644139775,1,1,0,0,0,5245.405594419907,5.605463706149408,0.97508973008931
L,1028.8455507436133,45.54508823650575,190.19978085568798,307.662539304156,309.6279892150735,0,1,0,0,0,4907.048489983974,1.9654499109175276,0.9980470576902174
M,2772.8364999277214,58.66251990817559,108.18328176465086,302.5004570261504,301.55237024988924,0,0,1,0,0,17033.880445799896,-0.9480867762611638,0.5618373559205287
L,2316.3375461355486,61.845836999118376,156.87980148818323,296.68831834103764,302.6833266246301,0,0,1,0,0,15001.715888744731,5.995008283592483,0.9968420977087327
H,1007.8098000460352,46.51023517933197,49.39949149570437,308.0580376634147,314.1859423762415,0,1,0,0,0,4908.578385478535,6.127904712826762,0.9984493822601541
L,1657.5373494244413,64.39745670025403,187.51607363253112,308.1068538097304,311.8753142692593,0,1,1,1,0,11177.911245372841,3.76846045952891,0.9972298914586069
L,1703.417543359043,65.34900467337116,255.0568133927296,297.50237747545725,314.72808218383807,0,0,1,1,0,11657.051386438225,17.225704708380817,0.9998657734808013
H,1921.720604022537,61.98127058576286,106.54587091213345,298.98197976256125,303.6141510258286,0,0,1,0,0,12473.241738961942,4.632171263267367,0.9290265971851164
H,1038.0575821076527,46.027101904111376,275.1756392295023,308.7975301577643,312.7790608520696,1,1,0,1,0,5003.38236289412,3.98153069430532,0.9995118819771466
H,2206.530839585719,67.55512158924287,258.664268870037,308.6608031187765,306.2914904929838,1,1,1,1,0,15609.78422062575,-2.369312625792702,0.9996667841192997
L,1372.9515637636646,30.843011348935576,160.51778890914932,307.66391719007885,307.18220635404,0,1,0,0,0,4434.458630904852,-0.48171083603887155,0.9862066072103325
L,2253.210959754584,48.5505785912372,258.54119708813965,309.2528308453808,306.29521407378286,1,1,1,1,0,11455.785753911303,-2.957616771597941,0.822201115760881
L,2351.8627035932996,52.85642411165298,234.16843776921684,309.67364532440405,313.74323645012424,0,0,1,1,0,13017.82297788154,4.069591125720194,0.9981322098176192
H,1917.4492672950514,66.07812173496445,141.58669501736983,297.7284294219625,311.5044207828296,0,0,1,0,0,13268.14440941617,13.775991360867067,0.9976307755274355
H,2170.549838385416,22.559946066294142,276.49851214527536,297.437097312802,303.51456878491064,1,0,0,0,0,5127.8632776431,6.077471472108641,0.5520322968618047
L,1472.9500070568902,73.32628771085098,86.185188507363,307.5054290692648,308.8870111999815,0,1,1,0,0,11310.357263905544,1.3815821307167084,0.9987790365941366
H,1401.379104526422,71.96868218268806,203.425038802449,296.23987533653457,301.5977076076158,0,1,1,1,0,10561.553564491825,5.357832271081236,0.9985994766693707
H,2442.605088248965,76.84321877988523,142.0342924451949,309.1886268638927,311.8584475818504,0,0,1,0,0,19655.650602989266,2.669820717957691,0.999973779245001
M,2071.5583123423935,74.07525922520169,187.29991802640953,302.74377663941186,306.6594716261006,0,0,1,1,0,16069.374075119791,3.9156949866887203,0.9998166507961254
L,1371.4404672876292,35.90214316154464,104.69940170188802,308.28079886144127,310.15840880100444,0,1,0,0,0,5156.154859488776,1.8776099395631718,0.9785716994821384
M,1207.818403248143,43.620001277761816,225.87373036928562,303.74895908044,306.0224011697206,0,1,0,0,0,5517.164517951136,2.273442089280593,0.8797629875271377
M,1716.6573246179137,65.28860127494592,8.809692706868727,308.5914938875183,303.1495120468777,0,1,1,0,0,11736.79700793008,-5.441981840640608,0.9828777476509687
H,1348.9047082990883,79.0036077271628,12.250548335324938,304.87694852084866,300.66552078171156,0,1,1,0,0,11159.810304504339,-4.211427739137093,0.999738796641411
M,2008.303920115428,65.15758023231677,44.27689754411693,309.48665378836586,314.0195442174578,0,0,1,0,0,13703.231712826486,4.532890429091935,0.9948921481713087
L,1689.8112099926002,79.71125080996684,178.33847384226937,299.98011519882056,305.40428475185644,0,0,1,1,0,14105.433209138037,5.424169553035881,0.99948526494224
M,1173.7238473407187,78.21888619337165,259.5661906311269,302.338531725195,304.5299624678226,0,1,1,1,0,9614.045517955923,2.191430742627574,0.999669392900755
H,2120.560338101738,62.33683654267736,237.5277850556333,296.5181549622784,313.9355242671878,0,0,1,1,0,13842.802136406925,17.417369304909414,0.9968086977285305
L,2427.670752971402,66.65499282674426,267.86022839830844,295.663529357578,306.75442488001613,0,0,1,1,0,16945.371334521227,11.090895522438132,0.9998892082931367
L,2570.8370172905607,62.109743739675814,186.85856220654517,295.9851297435132,304.8268753282405,0,0,1,0,0,16721.025146775177,8.841745584727278,0.9986103875908044
